seed,episode,total_steps,ret,length,terminal_cause,n_awake,n_nrem,n_rem,mean_overload,mean_recall
1,297,5646,-96.109375,13,overload,13,0,0,0.7007211538461539,0.9807692307692307
1,298,5664,-96.028125,18,energy,16,0,2,0.6571180555555556,1.0
1,299,5678,-95.834375,14,overload,13,0,1,0.6238839285714286,0.9910714285714286
1,300,5698,-97.784375,20,overload,17,2,1,0.72421875,0.975
1,301,5719,-97.8625,21,overload,18,2,1,0.7410714285714286,0.9285714285714286
1,302,5731,-99.3,12,overload,9,1,2,0.6666666666666666,0.9791666666666666
1,303,5748,-96.31875,17,overload,16,0,1,0.71875,0.9485294117647058
1,304,5770,-96.446875,22,energy,18,1,3,0.6384943181818182,1.0
1,305,5785,-96.146875,15,overload,14,0,1,0.6697916666666667,0.975
1,306,5791,-98.171875,6,overload,6,0,0,0.6953125,0.9375
1,307,5812,-97.08125,21,energy,18,1,2,0.7038690476190477,0.9464285714285714
1,308,5824,-97.21875,12,overload,12,0,0,0.7682291666666666,0.9583333333333334
1,309,5830,-99.771875,6,overload,5,1,0,0.7786458333333334,1.0
1,310,5846,-98.059375,16,overload,14,1,1,0.7412109375,0.984375
1,311,5859,-98.04375,13,overload,11,1,1,0.6802884615384616,0.9423076923076923
1,312,5877,-95.41875,18,energy,16,0,2,0.6232638888888888,1.0
1,313,5889,-97.303125,12,overload,11,1,0,0.68359375,0.9895833333333334
1,314,5901,-97.6,12,overload,11,0,1,0.7083333333333334,0.9479166666666666
1,315,5917,-96.56875,16,overload,15,0,1,0.716796875,0.9765625
1,316,5932,-97.321875,15,overload,11,2,2,0.528125,0.975
1,317,5949,-100.540625,17,overload,13,4,0,0.7729779411764706,0.9852941176470589
1,318,5972,-96.84375,23,energy,18,1,4,0.623641304347826,1.0
1,319,5987,-96.3875,15,overload,13,1,1,0.6125,0.95
1,320,6004,-96.75625,17,overload,16,0,1,0.7444852941176471,0.9117647058823529
1,321,6016,-96.834375,12,overload,11,0,1,0.64453125,1.0
1,322,6034,-95.834375,18,energy,17,0,1,0.7074652777777778,1.0
